time,winChips,tableChips,amIFold,myChips,myHand,enemyHands
2018-07-20 02:49:53,0,3520,False,980,Two Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Full House:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 02:50:18,0,960,True,980,Pair,"Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Three of a Kind:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 02:50:50,0,1680,False,500,Pair,"Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 02:51:13,2180,2180,False,2180,Two Pair,"Two Pair:isFold=False;isAllIn=True, Two Pair:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 02:51:36,0,1560,True,2020,Pair,"Three of a Kind:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=True"
2018-07-20 02:51:52,0,720,True,1940,Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 02:52:18,3200,3200,False,3860,Straight,"Two Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 02:52:37,2240,2240,False,5140,High Card,"High Card:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False"
2018-07-20 02:52:59,0,3200,True,4500,High Card,"Pair:isFold=False;isAllIn=False, Straight:isFold=False;isAllIn=False"
2018-07-20 02:53:20,0,4060,False,2580,Pair,"High Card:isFold=False;isAllIn=True, Pair:isFold=False;isAllIn=False"
2018-07-20 02:54:54,280,280,False,3200,Two Pair,"Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Straight:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 02:55:48,0,4260,False,2220,Pair,"Full House:isFold=False;isAllIn=False, Full House:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 02:56:11,0,200,True,2200,Pair,"Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 02:56:48,0,1560,False,1820,Flush,"Straight:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Flush:isFold=False;isAllIn=False, Flush:isFold=False;isAllIn=False"
2018-07-20 02:57:24,540,540,False,2220,Three of a Kind,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 02:57:50,0,480,True,2220,Pair,"Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 02:58:23,0,1240,False,1940,Two Pair,"Two Pair:isFold=False;isAllIn=False, Three of a Kind:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 02:58:45,0,360,True,1900,Pair,"High Card:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 02:59:13,560,560,False,2300,Flush,"High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 02:59:38,0,480,True,2300,Pair,"Two Pair:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 03:00:12,0,1920,False,1820,Pair,"Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=False;isAllIn=False"
2018-07-20 03:00:47,2560,2560,False,3740,Flush,"High Card:isFold=True;isAllIn=False, Flush:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 03:01:12,0,1040,True,3660,High Card,"High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Straight:isFold=True;isAllIn=False"
2018-07-20 03:01:41,0,1280,False,3340,High Card,"Pair:isFold=False;isAllIn=False, Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 03:02:17,0,2080,False,2860,Pair,"High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=False;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 03:02:42,0,1920,True,2860,Pair,"Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 03:03:17,0,5120,False,1580,Pair,"Straight:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 03:03:41,0,1860,True,1420,Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=True, Flush:isFold=False;isAllIn=False, Flush:isFold=True;isAllIn=False"
2018-07-20 03:04:01,0,1200,True,1340,Pair,"Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 03:04:32,0,3360,False,380,Pair,"Two Pair:isFold=False;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 03:04:52,1520,1280,False,1520,Three of a Kind,"High Card:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 03:05:17,0,3840,False,240,High Card,"High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 03:05:36,0,2080,True,80,High Card,"High Card:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, High Card:isFold=False;isAllIn=False"
2018-07-20 03:05:52,0,1460,False,0,High Card,"Pair:isFold=False;isAllIn=True, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 03:07:33,0,1120,False,2760,High Card,"Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Flush:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 03:08:00,0,8510,False,0,High Card,"Flush:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Flush:isFold=True;isAllIn=False, Flush:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=True, High Card:isFold=False;isAllIn=True"
2018-07-20 03:17:21,0,1920,False,0,,"High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=True"
2018-07-20 03:17:52,0,2560,False,0,,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Flush:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=True"
2018-07-20 03:18:27,0,1786,False,0,,"Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=False;isAllIn=True, Two Pair:isFold=False;isAllIn=True"
2018-07-20 03:18:57,0,960,False,0,,"Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 03:19:33,0,5956,False,0,,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=True, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 03:19:53,0,1680,False,0,,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Straight:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 03:20:25,0,960,False,0,,"Two Pair:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 03:26:03,0,280,True,2960,Two Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 03:26:28,0,220,True,2960,Pair,"Straight:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 03:26:58,0,480,True,2860,Two Pair,"Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 03:27:21,0,260,True,2840,Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 03:27:48,0,260,False,2760,Pair,"Three of a Kind:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Full House:isFold=False;isAllIn=False"
2018-07-20 03:28:11,0,340,True,2740,High Card,"High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 03:28:42,0,800,False,2540,High Card,"High Card:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 10:35:50,0,190,True,2940,Two Pair,"Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 10:36:13,0,230,True,2880,Pair,"Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 10:36:35,0,200,True,2840,Two Pair,"Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 10:37:00,0,6080,False,0,Two Pair,"Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Flush:isFold=False;isAllIn=True, Pair:isFold=True;isAllIn=False"
2018-07-20 10:44:38,0,470,True,2880,Two Pair,"Three of a Kind:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 10:45:01,0,50,True,2880,Two Pair,"Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 10:45:33,0,210,False,2780,High Card,"Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False"
2018-07-20 10:45:59,0,120,True,2740,Straight,"Three of a Kind:isFold=False;isAllIn=False, Flush:isFold=True;isAllIn=False, Flush:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 10:46:26,0,1734,True,2720,Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=False;isAllIn=False"
2018-07-20 10:46:54,0,120,True,2680,Two Pair,"Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 10:47:30,0,420,False,2520,High Card,"Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 10:48:15,0,3980,False,560,Pair,"Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 10:48:46,1140,1140,False,1140,Pair,"Pair:isFold=False;isAllIn=False, Straight:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 10:49:11,0,240,True,1060,High Card,"Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 10:49:45,0,380,True,1020,Pair,"Two Pair:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
